UniProt	Genes of a reaction from All instances of Reactions in Prochlorococcus marinus pastoris CCMP1986	Matches	EC-Number	Accession-1	Accession-2	Gene products (polypeptides and RNAs only)
Q7UZY1	lipA	[2-oxoglutarate-dehydrogenase E2 protein] N6-octanoyl-L-lysine + 2 sulfurated [sulfur carrier] + 2 reduced [2Fe-2S] ferredoxin + 2 S-adenosyl-L-methionine  =  a [2-oxoglutarate dehydrogenase E2 protein] N6-lipoyl-L-lysine + 2 L-methionine + 2 5'-deoxyadenosine + 2 unsulfurated [sulfur carrier] + 2 oxidized [2Fe-2S] ferredoxin // a [pyruvate dehydrogenase E2 protein] N6-octanoyl-L-lysine + 2 sulfurated [sulfur carrier] + 2 reduced [2Fe-2S] ferredoxin + 2 S-adenosyl-L-methionine  =  a [pyruvate dehydrogenase E2 protein] N6-lipoyl-L-lysine + 2 L-methionine + 2 5'-deoxyadenosine + 2 unsulfurated [sulfur carrier] + 2 oxidized [2Fe-2S] ferredoxin // a [lipoyl-carrier protein] N6-octanoyl-L-lysine + [Fe-S] cluster scaffold protein carrying a [4Fe-4S]+2 cluster + 2 reduced ferredoxin [iron-sulfur] cluster + 2 S-adenosyl-L-methionine + 6 H+  ->  a [lipoyl-carrier protein]-N6-[(R)-dihydrolipoyl]-L-lysine + 2 5'-deoxyadenosine + 2 L-methionine + [Fe-S] cluster scaffold protein + 2 sulfide(2-) + 4 Fe2+ + 2 oxidized ferredoxin [iron-sulfur] cluster // a [glycine-cleavage complex H protein] N6-octanoyl-L-lysine + 2 sulfurated [sulfur carrier] + 2 reduced [2Fe-2S] ferredoxin + 2 S-adenosyl-L-methionine  ->  a [glycine-cleavage complex H protein] N6-[(R)-lipoyl]-L-lysine + 2 L-methionine + 2 5'-deoxyadenosine + 2 unsulfurated [sulfur carrier] + 2 oxidized [2Fe-2S] ferredoxin	EC-2.8.1.8	PMM1514	TX50_RS08120	lipoyl synthase
Q7V0Z8	lipA	[2-oxoglutarate-dehydrogenase E2 protein] N6-octanoyl-L-lysine + 2 sulfurated [sulfur carrier] + 2 reduced [2Fe-2S] ferredoxin + 2 S-adenosyl-L-methionine  =  a [2-oxoglutarate dehydrogenase E2 protein] N6-lipoyl-L-lysine + 2 L-methionine + 2 5'-deoxyadenosine + 2 unsulfurated [sulfur carrier] + 2 oxidized [2Fe-2S] ferredoxin // a [pyruvate dehydrogenase E2 protein] N6-octanoyl-L-lysine + 2 sulfurated [sulfur carrier] + 2 reduced [2Fe-2S] ferredoxin + 2 S-adenosyl-L-methionine  =  a [pyruvate dehydrogenase E2 protein] N6-lipoyl-L-lysine + 2 L-methionine + 2 5'-deoxyadenosine + 2 unsulfurated [sulfur carrier] + 2 oxidized [2Fe-2S] ferredoxin // a [lipoyl-carrier protein] N6-octanoyl-L-lysine + [Fe-S] cluster scaffold protein carrying a [4Fe-4S]+2 cluster + 2 reduced ferredoxin [iron-sulfur] cluster + 2 S-adenosyl-L-methionine + 6 H+  ->  a [lipoyl-carrier protein]-N6-[(R)-dihydrolipoyl]-L-lysine + 2 5'-deoxyadenosine + 2 L-methionine + [Fe-S] cluster scaffold protein + 2 sulfide(2-) + 4 Fe2+ + 2 oxidized ferredoxin [iron-sulfur] cluster // a [glycine-cleavage complex H protein] N6-octanoyl-L-lysine + 2 sulfurated [sulfur carrier] + 2 reduced [2Fe-2S] ferredoxin + 2 S-adenosyl-L-methionine  ->  a [glycine-cleavage complex H protein] N6-[(R)-lipoyl]-L-lysine + 2 L-methionine + 2 5'-deoxyadenosine + 2 unsulfurated [sulfur carrier] + 2 oxidized [2Fe-2S] ferredoxin	EC-2.8.1.8	PMM1096	TX50_RS05880	lipoyl synthase
Q7V2R8	lipB	octanoyl:GcvH transferase // octanoyl-[acp] + a [lipoyl-carrier protein]-L-lysine  ->  a [lipoyl-carrier protein] N6-octanoyl-L-lysine + acyl-carrier protein + H+	EC-2.3.1.181	PMM0401	TX50_RS02155	lipoyl(octanoyl) transferase LipB
Q7V0G7	lnt	an (S-diacyl-sn-glyceryl)-L-cysteinyl-[apolipoprotein] + a phosphoglyceride  ->  an N-acyl-(S-diacyl-sn-glyceryl)-L-cysteinyl-[lipoprotein] + a 1-lysophospholipid + H+ // an (S-diacyl-sn-glyceryl)-L-cysteinyl-[apolipoprotein] + a phosphatidylethanolamine  =  an N-acyl-(S-diacyl-sn-glyceryl)-L-cysteinyl-[lipoprotein] + a 1-lysophosphatidylethanolamine + H+	EC-2.3.1.269	PMM1292	TX50_RS06930	apolipoprotein N-acyltransferase
Q7UZY9	lon	protein + ATP + 2 H2O  ->  2 peptide + ADP + phosphate + 3 H+	EC-3.4.24	PMM1506	TX50_RS08080	Lon serine protease monomer
Q7V0G2	lpd	succinyl-CoA + a [2-oxoglutarate dehydrogenase E2 protein] N6-dihydrolipoyl-L-lysine  <-  coenzyme A + a [2-oxoglutarate dehydrogenase E2 protein] N6-S-succinyldihydrolipoyl-L-lysine // pyruvate + coenzyme A + NAD+  ->  acetyl-CoA + CO2 + NADH // glycine + a tetrahydrofolate + NAD+  ->  a 5,10-methylenetetrahydrofolate + ammonium + CO2 + NADH // an [apo BCAA dehydrogenase E2 protein] N6-dihydrolipoyl-L-lysine + NAD+  <-->  a [BCAA dehydrogenase E2 protein] N6-lipoyl-L-lysine + NADH + H+ // a [pyruvate dehydrogenase E2 protein] N6-dihydrolipoyl-L-lysine + NAD+  ->  a [pyruvate dehydrogenase E2 protein] N6-lipoyl-L-lysine + NADH + H+ // a [lipoyl-carrier protein]-N6-[(R)-dihydrolipoyl]-L-lysine + NAD+  ->  a [lipoyl-carrier protein]-N6-[(R)-lipoyl]-L-lysine + NADH + H+ // a [glycine-cleavage complex H protein] N6-dihydrolipoyl-L-lysine + NAD+  <-->  a [glycine-cleavage complex H protein] N6-[(R)-lipoyl]-L-lysine + NADH + H+ // a [2-oxoglutarate dehydrogenase E2 protein] N6-dihydrolipoyl-L-lysine + NAD+  ->  a [2-oxoglutarate dehydrogenase E2 protein] N6-lipoyl-L-lysine + NADH + H+ // 2-oxoglutarate dehydrogenase complex // 2-oxoglutarate + a [2-oxoglutarate dehydrogenase E2 protein] N6-lipoyl-L-lysine + H+  ->  a [2-oxoglutarate dehydrogenase E2 protein] N6-S-succinyldihydrolipoyl-L-lysine + CO2	EC-2.3.1.61 // EC-1.2.1.104 // EC-1.4.1.27 // EC-1.8.1.4 // EC-1.2.1.105 // EC-1.2.4.2	PMM1298	TX50_RS06960	Dihydrolipoamide dehydrogenase
Q7V1U1	lptB	a lipopolysaccharide[cytosol] + ATP + H2O  ->  a lipopolysaccharide[periplasm] + ADP + phosphate + H+		PMM0764	TX50_RS04085	ABC-type lipopolyprotein transporter, ATP-binding component
Q7V0D1	lpxA	UDP-N-acetyl-alpha-D-glucosamine + (3R)-3-hydroxytetradecanoyl-[acp]  =  UDP-3-O-[(3R)-3-hydroxymyristoyl]-N-acetyl-alpha-D-glucosamine + acyl-carrier protein // UDP-N-acetyl-alpha-D-glucosamine + (3R)-3-hydroxydecanoyl-[acp]  ->  UDP-3-O-[(3R)-3-hydroxydecanoyl]-N-acetyl-alpha-D-glucosamine + acyl-carrier protein // (3R)-3-hydroxyhexadecanoyl-[acp] + UDP-N-acetyl-alpha-D-glucosamine  ->  UDP-3-O-[(3R)-3-hydroxyhexanoyl]-N-acetyl-alpha-D-glucosamine + acyl-carrier protein	EC-2.3.1.129	PMM1335	TX50_RS07165	acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase
Q7V0D2	lpxB	lipid X (P. putida) + UDP-2-N-[(3R)-3-hydroxydodecanoyl]-3-O-[(3R)-3-hydroxydecanoyl]-alpha-D-glucosamine  ->  lipid A disaccharide (P. putida) + UDP + H+ // lipid X (P. gingivalis) + UDP-2-N-[(3R)-3-hydroxy-15-methylhexadecanoyl]-3-O-[(3R)-3-hydroxy-13-methyltetradecanoyl]-alpha-D-glucosamine  ->  lipid A disaccharide (P. gingivalis) + UDP + H+ // lipid X (H. pylori) + UDP-2-N-[(3R)-3-hydroxyoctadecanoyl]-3-O-[(3R)-3-hydroxyhexadecanoyl]-alpha-D-glucosamine  ->  lipid A disaccharide (H. pylori) + UDP + H+ // lipid X (E. coli) + UDP-2-N,3-O-bis[(3R)-3-hydroxytetradecanoyl]-alpha-D-glucosamine  =  lipid A disaccharide (E. coli) + UDP + H+ // lipid X (Brucella) + UDP-2-N-[(3R)-3-hydroxydodecanoyl]-3-N-[(3R)-3-hydroxyhexanoyl]-alpha-3-amino-3-deoxy-D-glucosamine  ->  dephospho-lipid IVA (Brucella) + UDP + H+ // a lipid X + UDP-2-N,3-O-bis[(3R)-3-hydroxyacyl]-alpha-D-glucosamine  ->  a lipid A disaccharide + UDP + H+	EC-2.4.1.182	PMM1334	TX50_RS07160	lipid-A-disaccharide synthase
Q7V0C9	lpxC	UDP-3-O-[(3R)-3-hydroxymyristoyl]-N-acetyl-alpha-D-glucosamine + H2O  =  UDP-3-O-(3-hydroxymyristoyl)-alpha-D-glucosamine + acetate // UDP-3-O-[(3R)-3-hydroxyhexanoyl]-N-acetyl-alpha-D-glucosamine + H2O  ->  UDP-3-O-[(3R)-3-hydroxy-hexadecanoyl]-alpha-D-glucosamine + acetate // UDP-3-O-[(3R)-3-hydroxydecanoyl]-N-acetyl-alpha-D-glucosamine + H2O  ->  UDP-3-O-(3-hydroxydecanoyl)-alpha-D-glucosamine + acetate // UDP-3-O-[(3R)-3-hydroxyacyl]-N-acetyl-alpha-D-glucosamine + H2O  ->  UDP-3-O-[(3R)-3-hydroxyacyl]-alpha-D-glucosamine + acetate // UDP-3-O-[(3R)-3-hydroxy-13-methyltetradecanoyl]-N-acetyl-alpha-D-glucosamine + H2O  ->  UDP-3-O-[(3R)-3-hydroxy-13-methyltetradecanoyl]-alpha-D-glucosamine + acetate // UDP-2-acetamido-2,3-dideoxy-3-{[(3R)-3-hydroxyhexadecanoyl]amino}-alpha-D-glucopyranose + H2O  ->  UDP-3-N-[(3R)-3-hydroxyhexanoyl]-alpha-3-amino-3-deoxy-D-glucosamine + acetate	EC-3.5.1.108	PMM1337	TX50_RS07175	UDP-3-O-acyl-N-acetylglucosamine deacetylase
Q7V1R8	lpxD	(3R)-3-hydroxytetradecanoyl-[acp] + UDP-3-O-(3-hydroxymyristoyl)-alpha-D-glucosamine  =  UDP-2-N,3-O-bis[(3R)-3-hydroxytetradecanoyl]-alpha-D-glucosamine + acyl-carrier protein + H+ // (3R)-3-hydroxyoctadecanoyl-[acp] + UDP-3-O-[(3R)-3-hydroxy-hexadecanoyl]-alpha-D-glucosamine  ->  UDP-2-N-[(3R)-3-hydroxyoctadecanoyl]-3-O-[(3R)-3-hydroxyhexadecanoyl]-alpha-D-glucosamine + acyl-carrier protein + H+ // (3R)-3-hydroxydodecanoyl-[acp] + UDP-3-O-(3-hydroxydecanoyl)-alpha-D-glucosamine  ->  UDP-2-N-[(3R)-3-hydroxydodecanoyl]-3-O-[(3R)-3-hydroxydecanoyl]-alpha-D-glucosamine + acyl-carrier protein + H+ // (3R)-3-hydroxydodecanoyl-[acp] + UDP-3-N-[(3R)-3-hydroxyhexanoyl]-alpha-3-amino-3-deoxy-D-glucosamine  ->  UDP-2-N-[(3R)-3-hydroxydodecanoyl]-3-N-[(3R)-3-hydroxyhexanoyl]-alpha-3-amino-3-deoxy-D-glucosamine + acyl-carrier protein + H+ // (3R)-3-hydroxyacyl-[acyl-carrier protein] + UDP-3-O-[(3R)-3-hydroxyacyl]-alpha-D-glucosamine  ->  UDP-2-N,3-O-bis[(3R)-3-hydroxyacyl]-alpha-D-glucosamine + acyl-carrier protein + H+ // (3R)-3-hydroxy-15-methylhexanoyl-[acp] + UDP-3-O-[(3R)-3-hydroxy-hexadecanoyl]-alpha-D-glucosamine  ->  UDP-2-N-[(3R)-3-hydroxy-16-methylhexadecanoyl]-3-O-[(3R)-3-hydroxyhexadecanoyl]-alpha-D-glucosamine + acyl-carrier protein + H+ // (3R)-3-hydroxy-15-methylhexanoyl-[acp] + UDP-3-O-[(3R)-3-hydroxy-13-methyltetradecanoyl]-alpha-D-glucosamine  ->  UDP-2-N-[(3R)-3-hydroxy-15-methylhexadecanoyl]-3-O-[(3R)-3-hydroxy-13-methyltetradecanoyl]-alpha-D-glucosamine + acyl-carrier protein + H+	EC-2.3.1.191	PMM0787	TX50_RS04200	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
Q7V104	lysA	meso-diaminopimelate + H+  ->  L-lysine + CO2	EC-4.1.1.20	PMM1090	TX50_RS05850	diaminopimelate decarboxylase
Q7UZL4	lysC	L-aspartate + ATP  ->  L-aspartyl-4-phosphate + ADP	EC-2.7.2.4	PMM1648	TX50_RS08810	aspartate kinase
Q7UZP0	lysS	L-lysine + tRNALys + ATP  ->  L-lysyl-[tRNALys] + AMP + diphosphate	EC-6.1.1.6	PMM1618	TX50_RS08655	lysine--tRNA ligase
Q7V110	malQ	SHG-glucosyln+1 + D-glucopyranose  <-->  SHG-glucosyln + maltose // maltotetraose + D-glucopyranose  <-->  maltotriose + maltose // maltopentaose + D-glucopyranose  <-->  maltotetraose + maltose // maltohexaose + D-glucopyranose  <-->  maltopentaose + maltose // an alpha-limit dextrin  <-->  a alpha-limit dextrin with short branches // an alpha-limit dextrin  ->  a debranched alpha-limit dextrin // 4-&alpha;-glucosyltransferase // a long-linear alpha-D-glucan + alpha-D-glucopyranose  <-->  2 a short 1,4-alpha-D-glucan // a glucan + maltotriose  <-->  a glucan + D-glucopyranose	EC-2.4.1.25 // EC-3.2.1.33	PMM1081	TX50_RS05805	4-alpha-glucanotransferase
Q7V2J9	map	peptide with an N-terminal L-methionine + H2O  ->  L-methionine + peptide // an N-terminal-L-methionyl-L-valyl-[protein] + H2O  ->  an N-terminal L-valyl-[protein] + L-methionine // an N-terminal-L-methionyl-L-threonyl-[protein] + H2O  ->  an N-terminal L-threonyl-[protein] + L-methionine // an N-terminal-L-methionyl-L-seryl-[protein] + H2O  ->  an N-terminal L-seryl-[protein] + L-methionine // an N-terminal-L-methionyl-L-cysteinyl-[protein] + H2O  ->  an N-terminal L-cysteinyl-[protein] + L-methionine // an N-terminal-L-methionyl-L-alanyl-[protein] + H2O  ->  an N-terminal L-alanyl-[protein] + L-methionine // an N-terminal-L-methionyl-glycyl-[protein] + H2O  ->  an N-terminal glycyl-[protein] + L-methionine	EC-3.4.11.18	PMM0477	TX50_RS02570	type I methionyl aminopeptidase
Q7UZI1	mazG	dUTP + H2O  ->  dUMP + diphosphate + H+ // dCTP + H2O  ->  dCMP + diphosphate + H+	EC-3.6.1.23 // EC-3.6.1.9 // EC-3.6.1.12 // EC-3.6.1.65	PMM1684	TX50_RS08995	nucleoside triphosphate pyrophosphohydrolase
Q7V3A6	menA	2-carboxy-1,4-naphthoquinone + phytyl diphosphate + H+  ->  demethylphylloquinone + CO2 + diphosphate	EC-2.5.1.130	PMM0176	TX50_RS00915	2-carboxy-1,4-naphthoquinone phytyltransferase
Q7V276	menB	4-(2'-carboxyphenyl)-4-oxobutyryl-CoA + H+  ->  1,4-dihydroxy-2-naphthoyl-CoA + H2O	EC-4.1.3.36	PMM0608	TX50_RS03235	1,4-dihydroxy-2-naphthoyl-CoA synthase
Q7V3A7	menC	(1R,6R)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate  ->  2-succinylbenzoate + H2O	EC-4.2.1.113	PMM0175	TX50_RS00910	o-succinylbenzoate synthase
Q7V277	menD	isochorismate + 2-oxoglutarate + H+  ->  2-succinyl-5-enolpyruvoyl-6-hydroxy-3-cyclohexene-1-carboxylate + CO2	EC-2.2.1.9	PMM0607	TX50_RS03230	2-succinyl-5-enolpyruvyl-6-hydroxy-3- cyclohexene-1-carboxylic-acid synthase
Q7V3A8	menE	2-succinylbenzoate + coenzyme A + ATP  ->  4-(2'-carboxyphenyl)-4-oxobutyryl-CoA + AMP + diphosphate	EC-6.2.1.26	PMM0174	TX50_RS00905	O-succinylbenzoate-CoA ligase
Q7V3A5	menF	chorismate  ->  isochorismate	EC-5.4.4.2	PMM0177	TX50_RS00920	isochorismate synthase
Q7V2P1	menG	demethylphylloquinol methyltransferase	EC-2.1.1.329	PMM0431	TX50_RS02325	demethylphylloquinol methyltransferase
Q7V3A9	menI	1,4-dihydroxy-2-naphthoyl-CoA + H2O  ->  1,4-dihydroxy-2-naphthoate + coenzyme A + H+	EC-3.1.2.28	PMM0173	TX50_RS00900	1,4-dihydroxy-2-naphthoyl-CoA hydrolase
Q7V245	metA	L-homoserine + succinyl-CoA  ->  O-succinyl-L-homoserine + coenzyme A // L-homoserine + acetyl-CoA  ->  O-acetyl-L-homoserine + coenzyme A	EC-2.3.1.46 // EC-2.3.1.31	PMM0643	TX50_RS03410	homoserine O-succinyltransferase
Q7TUD6	metB	S-fenclorimyl-L-cysteine + H2O  ->  6-chloro-2-phenyl-4-sulfanylpyrimidine + pyruvate + ammonium // S-fenclorimyl-L-cysteine  ->  2-aminoprop-2-enoate + 6-chloro-2-phenyl-4-sulfanylpyrimidine // S-ethyl-L-cysteine + H2O  ->  ethanethiol + pyruvate + ammonium // S-ethyl-L-cysteine  ->  2-aminoprop-2-enoate + ethanethiol // S-benzyl-L-cysteine + H2O  ->  benzyl thiol + pyruvate + ammonium // S-benzyl-L-cysteine  ->  2-aminoprop-2-enoate + benzyl thiol // S-(6-hydroxy-4-methylhexan-4-yl)-L-cysteine + H2O  ->  3-methyl-3-sulfanylhexan-1-ol + pyruvate + ammonium // S-(6-hydroxy-4-methylhexan-4-yl)-L-cysteine  ->  2-aminoprop-2-enoate + 3-methyl-3-sulfanylhexan-1-ol // S-(5-hydroxypentan-3-yl)-L-cysteine + H2O  ->  3-sulfanylpentan-1-ol + pyruvate + ammonium // S-(5-hydroxypentan-3-yl)-L-cysteine  ->  2-aminoprop-2-enoate + 3-sulfanylpentan-1-ol // S-(4-oxo-2-methylpentan-2-yl)-L-cysteine + H2O  ->  4-methyl-4-sulfanylpentan-2-one + pyruvate + ammonium // S-(4-oxo-2-methylpentan-2-yl)-L-cysteine  ->  2-aminoprop-2-enoate + 4-methyl-4-sulfanylpentan-2-one // S-(4-hydroxy-3-methylbutan-2-yl)-L-cysteine + H2O  ->  2-methyl-3-sulfanylbutan-1-ol + pyruvate + ammonium // S-(4-hydroxy-3-methylbutan-2-yl)-L-cysteine  ->  2-aminoprop-2-enoate + 2-methyl-3-sulfanylbutan-1-ol // S-(4-hydroxy-2-methylpentan-2-yl)-L-cysteine + H2O  ->  4-methyl-4-sulfanylpentan-2-ol + pyruvate + ammonium // S-(4-hydroxy-2-methylpentan-2-yl)-L-cysteine  ->  2-aminoprop-2-enoate + 4-methyl-4-sulfanylpentan-2-ol // S-(1-hydroxyhexan-3-yl)-L-cysteine + H2O  ->  3-sulfanylhexan-1-ol + pyruvate + ammonium // S-(1-hydroxyhexan-3-yl)-L-cysteine  ->  2-aminoprop-2-enoate + 3-sulfanylhexan-1-ol // O-succinyl-L-homoserine + methanethiol  <-->  L-methionine + succinate + H+ // O-succinyl-L-homoserine + L-cysteine  <-->  L-cystathionine + succinate + H+ // O-succinyl-L-homoserine + hydrogen sulfide  <-->  L-homocysteine + succinate + H+ // L-selenocystathionine + H2O  ->  seleno-L-homocysteine + pyruvate + ammonium // L-selenocystathionine  ->  2-aminoprop-2-enoate + seleno-L-homocysteine // L-djenkolate + H2O  ->  S-(sulfanylmethyl)-L-cysteine + pyruvate + ammonium // L-djenkolate  ->  S-(sulfanylmethyl)-L-cysteine + 2-aminoprop-2-enoate // L-cysteine + O-phospho-L-homoserine  ->  L-cystathionine + phosphate // L-cystathionine + H2O  ->  L-homocysteine + pyruvate + ammonium // L-cystathionine  ->  2-aminoprop-2-enoate + L-homocysteine // felinine + H2O  ->  3-methyl-3-sulfanylbutan-1-ol + pyruvate + ammonium // felinine  ->  3-methyl-3-sulfanylbutan-1-ol + 2-aminoprop-2-enoate // an S-alkyl-L-cysteine + H2O  ->  an alkyl-thiol + pyruvate + ammonium // an S-alkyl-L-cysteine  ->  an alkyl-thiol + 2-aminoprop-2-enoate // an L-cysteine-S-conjugate + H2O  ->  a thiol + pyruvate + ammonium // an L-cysteine-S-conjugate  =  a thiol + 2-aminoprop-2-enoate // 2-iminopropanoate + H2O  ->  pyruvate + ammonium // 2-aminoprop-2-enoate  ->  2-iminopropanoate // (Z)-1-(L-cystein-S-yl)-N-hydroxy-omega-(methylsulfanyl)pentan-1-imine + H2O  ->  (Z)-omega-(methylsulfanyl)pentyl-thiohydroximate + pyruvate + ammonium // (Z)-1-(L-cystein-S-yl)-N-hydroxy-omega-(methylsulfanyl)octan-1-imine + H2O  ->  (Z)-omega-(methylsulfanyl)octyl-thiohydroximate + pyruvate + ammonium // (Z)-1-(L-cystein-S-yl)-N-hydroxy-omega-(methylsulfanyl)nonan-1-imine + H2O  ->  (Z)-omega-(methylsulfanyl)nonyl-thiohydroximate + pyruvate + ammonium // (Z)-1-(L-cystein-S-yl)-N-hydroxy-omega-(methylsulfanyl)hexan-1-imine + H2O  ->  (Z)-omega-(methylsulfanyl)hexyl-thiohydroximate + pyruvate + ammonium // (Z)-1-(L-cystein-S-yl)-N-hydroxy-omega-(methylsulfanyl)heptan-1-imine + H2O  ->  (Z)-omega-(methylsulfanyl)heptyl-thiohydroximate + pyruvate + ammonium // (Z)-1-(L-cystein-S-yl)-N-hydroxy-omega-(methylsulfanyl)butan-1-imine + H2O  ->  (Z)-omega-(methylsulfanyl)butyl-thiohydroximate + pyruvate + ammonium // (Z)-1-(L-cystein-S-yl)-N-hydroxy-2-phenylethan-1-imine + H2O  ->  (Z)-2-phenyl-1-thioacetohydroximate + pyruvate + ammonium + H+ // (Z)-1-(L-cystein-S-yl)-N-hydroxy-2-(4-hydroxyphenyl)ethan-1-imine + H2O  ->  (Z)-N-hydroxy-2-(4-hydroxyphenyl)acetimidothioate + pyruvate + ammonium + H+ // (Z)-1-(L-cystein-S-yl)-N-hydroxy-2-(1H-indol-3-yl)ethan-1-imine + H2O  ->  (Z)-2-(1H-indol-3-yl)-1-thioacetohydroximate + pyruvate + ammonium + H+	EC-4.4.1.13 // EC-2.5.1.48 // EC-3.5.99.10	PMM0409	TX50_RS02200	Cystathionine beta-lyase/cystathionine gamma-synthase
Q7V1K0	metG	initiator tRNAMet + L-methionine + ATP  ->  L-methionyl-[initiator tRNAMet] + AMP + diphosphate // elongator tRNAMet + L-methionine + ATP  ->  L-methionyl-[elongator tRNAMet] + AMP + diphosphate	EC-6.1.1.10	PMM0867	TX50_RS04640	methionine--tRNA ligase
Q7V1J3	metH	methylcob(III)alamin-[methionine synthase] + L-homocysteine  ->  cob(I)alamin-[methionine synthase] + L-methionine + H+ // L-homocysteine + a 5-methyltetrahydrofolate  ->  L-methionine + a tetrahydrofolate // L-homocysteine + 5-methyltetrahydropteroyl tri-L-glutamate  ->  L-methionine + tetrahydropteroyl tri-L-glutamate // a 5-methyltetrahydrofolate + cob(I)alamin-[methionine synthase] + H+  ->  a tetrahydrofolate + methylcob(III)alamin-[methionine synthase]	EC-2.1.1.13 // EC-2.1.1.14	PMM0877	TX50_RS04690	methionine synthase
Q7UZM8	mgtE	Mg2+[periplasm]  ->  Mg2+[cytosol]		PMM1630	TX50_RS08715	magnesium transporter
Q7TU25	miaA	prenyl diphosphate + an adenosine37 in tRNA  ->  N6-(3-methylbut-2-en-1-yl)-adenosine37 in tRNA + diphosphate	EC-2.5.1.75	PMM1635	TX50_RS08740	tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA
Q7V0F7	miaB	N6-(3-methylbut-2-en-1-yl)-adenosine37 in tRNA + sulfurated [sulfur carrier] + S-adenosyl-L-methionine + a reduced two electron carrier  ->  2-sulfanyl-N6-dimethylallyladenosine37 in tRNA + unsulfurated [sulfur carrier] + 5'-deoxyadenosine + L-methionine + an oxidized electron carrier + H+ // N6-(3-methylbut-2-en-1-yl)-adenosine37 in tRNA + sulfurated [sulfur carrier] + 2 S-adenosyl-L-methionine + a reduced two electron carrier  ->  2-methylsulfanyl-N6-dimethylallyladenosine37 in tRNA + S-adenosyl-L-homocysteine + unsulfurated [sulfur carrier] + 5'-deoxyadenosine + L-methionine + an oxidized electron carrier + 2 H+ // 2-sulfanyl-N6-dimethylallyladenosine37 in tRNA + S-adenosyl-L-methionine  ->  2-methylsulfanyl-N6-dimethylallyladenosine37 in tRNA + S-adenosyl-L-homocysteine + H+	EC-2.8.4.3	PMM1305	TX50_RS07005	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB
Q7V2S8	miaE	tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine)-hydroxylase activity	EC-1.14.99	PMM0388	TX50_RS02090	Probable hydroxylase for synthesis of 2-methylthio-cis-ribozeatin in tRNA
Q7TTQ1	mnmA	a uridine34 in tRNA + a [tRNA-uridine 2-sulfurtransferase]-S-sulfanyl-L-cysteine + ATP + a reduced two electron carrier  ->  a 2-thiouridine34 in tRNA + a [tRNA-uridine 2-sulfurtransferase]-L-cysteine + AMP + an oxidized electron carrier + diphosphate + H+ // a uridine34 in tRNA + a [protein]-S-sulfanyl-L-cysteine + ATP + a reduced two electron carrier  ->  a 2-thiouridine34 in tRNA + a [protein]-L-cysteine + AMP + an oxidized electron carrier + diphosphate + H+ // a thiocarboxylated [SAMP] C-terminal glycine + a uridine34 in tRNA + ATP + H2O  ->  a [SAMP] C-terminal glycine + a 2-thiouridine34 in tRNA + AMP + diphosphate + 2 H+	EC-2.8.1.13	PMM1291	TX50_RS06925	tRNA 2-thiouridine(34) synthase MnmA
Q7TU19	mnmG	a uridine34 in tRNA + GTP + a 5,10-methylenetetrahydrofolate + glycine + an oxidized electron carrier + H2O  ->  a 5-carboxymethylaminomethyluridine34 in tRNA + GDP + a 7,8-dihydrofolate + a reduced two electron carrier + phosphate + 2 H+ // a 2-thiouridine34 in tRNA + GTP + a 5,10-methylenetetrahydrofolate + glycine + an oxidized electron carrier + H2O  ->  a 5-carboxymethylaminomethyl-2-thiouridine34 in tRNA + GDP + a 7,8-dihydrofolate + a reduced two electron carrier + phosphate + 2 H+ // a 2-thiouridine34 in tRNA + a 5,10-methylenetetrahydrofolate + ammonium + GTP + H2O  =  a 5-(aminomethyl)-2-thiouridine34 in tRNA + a 7,8-dihydrofolate + GDP + phosphate		PMM1675	TX50_RS08945	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG
Q7V1E8	mnmH	selenophosphate + a 5-[(methylamino)methyl]-2-thiouridine34 in tRNA + geranyl diphosphate + H2O  ->  a 5-methylaminomethyl-2-selenouridine34 in tRNA + (2E)-3,7-dimethylocta-2,6-diene-1-thiol + diphosphate + phosphate // selenophosphate + a 5-methylaminomethyl-2-(S-geranyl)thiouridine34 in tRNA  ->  a 5-methylaminomethyl-2-(Se-phospho)selenouridine34 in tRNA + (2E)-3,7-dimethylocta-2,6-diene-1-thiol // geranyl diphosphate + a 5-[(methylamino)methyl]-2-thiouridine34 in tRNA  ->  a 5-methylaminomethyl-2-(S-geranyl)thiouridine34 in tRNA + diphosphate // a 5-methylaminomethyl-2-(Se-phospho)selenouridine34 in tRNA + H2O  ->  a 5-methylaminomethyl-2-selenouridine34 in tRNA + phosphate	EC-2.9.1.3	PMM0925	TX50_RS04935	tRNA 2-selenouridine(34) synthase MnmH
